symbol,indices,avg_volume,sector
MAXHEALTH,"nifty50,nifty_infra",1942169,Infra
MAZDOCK,nifty_next50,2169772,Other
MCX,nifty_midcap150,2810180,Other
MEDANTA,nifty_midcap150,184439,Other
MEESHO,nifty_smallcap250,48408421,Other
MFSL,nifty_midcap150,632618,Other
MGL,"nifty_energy,nifty_smallcap250",250096,Energy
MINDACORP,nifty_smallcap250,384549,Other
MMTC,nifty_smallcap250,8004817,Other
MOTHERSON,"nifty_auto,nifty_infra,nifty_next50",22310499,Auto
MOTILALOFS,nifty_midcap150,1747986,Other
MPHASIS,"nifty_it,nifty_midcap150",629200,IT
MRPL,nifty_smallcap250,11547129,Other
MSUMI,nifty_smallcap250,13391071,Other
MUTHOOTFIN,nifty_next50,551296,Other
NAM-INDIA,nifty_midcap150,1510635,Other
NATCOPHARM,nifty_smallcap250,671525,Other
NATIONALUM,"nifty_metal,nifty_midcap150",10337302,Metals
NAUKRI,nifty_midcap150,1400829,Other
NAVA,nifty_smallcap250,1958378,Other
NAVINFLUOR,nifty_smallcap250,450860,Other
NAZARA,nifty_media,2238920,Media
NBCC,nifty_smallcap250,11617784,Other
NCC,nifty_smallcap250,3339043,Other
NESTLEIND,"nifty50,nifty_fmcg",2753914,FMCG
NETWEB,nifty_smallcap250,1843077,Other
NETWORK18,nifty_media,3853107,Media
NEWGEN,nifty_smallcap250,2405881,Other
NH,nifty_smallcap250,270035,Other
NHPC,"nifty_energy,nifty_midcap150",17803838,Energy
NIACL,nifty_midcap150,5549443,Other
NIVABUPA,nifty_smallcap250,958137,Other
NLCINDIA,"nifty_energy,nifty_midcap150",7421864,Energy
NMDC,"nifty_metal,nifty_midcap150",25794341,Metals
NSLNISP,nifty_smallcap250,5425356,Other
NTPC,"nifty50,nifty_energy,nifty_infra",10068992,Power
NTPCGREEN,"nifty_energy,nifty_midcap150",20354971,Energy
NUVAMA,nifty_smallcap250,685502,Other
NUVOCO,nifty_smallcap250,904941,Other
NYKAA,nifty_midcap150,3596261,Other
OBEROIRLTY,"nifty_midcap150,nifty_realty",540837,Realty
OFSS,"nifty_it,nifty_midcap150",443085,IT
OIL,"nifty_energy,nifty_midcap150",5442746,Energy
OLAELEC,nifty_smallcap250,140084064,Other
OLECTRA,nifty_smallcap250,1076432,Other
ONESOURCE,nifty_smallcap250,988004,Other
ONGC,"nifty50,nifty_energy,nifty_infra",17384241,Energy
PARADEEP,nifty_smallcap250,6528196,Other
PATANJALI,"nifty_fmcg,nifty_midcap150",1912854,FMCG
PAYTM,nifty_midcap150,3497228,Other
PCBL,nifty_smallcap250,1650014,Other
PERSISTENT,"nifty_it,nifty_midcap150",761824,IT
PETRONET,"nifty_energy,nifty_midcap150",3376631,Energy
PFC,nifty_next50,9078039,Other
PFOCUS,nifty_media,1327365,Media
PGEL,nifty_smallcap250,3200369,Other
PHOENIXLTD,"nifty_midcap150,nifty_realty",434014,Realty
PIDILITIND,nifty_next50,1159276,Other
PIIND,nifty_midcap150,272008,Other
PINELABS,nifty_smallcap250,2340516,Other
PIRAMALFIN,nifty_smallcap250,1002213,Other
PNB,"nifty_bank,nifty_next50,nifty_psu_bank",20769124,Banking
PNBHOUSING,nifty_smallcap250,2508145,Other
POLICYBZR,nifty_midcap150,1829839,Other
POLYCAB,nifty_midcap150,551673,Other
POLYMED,nifty_smallcap250,121212,Other
POONAWALLA,nifty_smallcap250,3231111,Other
POWERGRID,"nifty50,nifty_energy,nifty_infra",10888929,Power
POWERINDIA,"nifty_energy,nifty_midcap150",151746,Energy
PPLPHARMA,"nifty_pharma,nifty_smallcap250",9151113,Pharma
PREMIERENE,nifty_midcap150,1950374,Other
PRESTIGE,"nifty_midcap150,nifty_realty",796461,Realty
PSB,nifty_psu_bank,1852172,PSU Bank
PVRINOX,"nifty_media,nifty_smallcap250",392615,Media
PWL,nifty_smallcap250,3282630,Other
RADICO,"nifty_fmcg,nifty_midcap150",601526,FMCG
RAILTEL,nifty_smallcap250,6606851,Other
RAINBOW,nifty_smallcap250,182322,Other
RAMCOCEM,nifty_smallcap250,290530,Other
RBLBANK,nifty_smallcap250,6710116,Other
RECLTD,nifty_next50,8809152,Other
REDINGTON,nifty_smallcap250,4171468,Other
RELIANCE,"nifty50,nifty_energy,nifty_infra",22195208,Energy
RHIM,nifty_smallcap250,133761,Other
RITES,nifty_smallcap250,712063,Other
RKFORGE,nifty_smallcap250,1132599,Other
RPOWER,"nifty_energy,nifty_smallcap250",80990904,Energy
RRKABEL,nifty_smallcap250,915912,Other
RVNL,nifty_midcap150,9122974,Other
SAGILITY,nifty_smallcap250,15597114,Other
SAIL,"nifty_metal,nifty_midcap150",23733892,Metals
SAILIFE,nifty_smallcap250,597801,Other
SAMMAANCAP,nifty_smallcap250,15703760,Other
SAPPHIRE,nifty_smallcap250,4080399,Other
SARDAEN,nifty_smallcap250,1066730,Other
SAREGAMA,"nifty_media,nifty_smallcap250",372489,Media
SBFC,nifty_smallcap250,1879660,Other
SBICARD,nifty_midcap150,1606021,Other
SBILIFE,nifty50,1829318,Insurance
SBIN,"nifty50,nifty_bank,nifty_psu_bank",17040268,Banking
SCHAEFFLER,nifty_midcap150,130184,Other
SCI,nifty_smallcap250,18273318,Other
SHRIRAMFIN,nifty50,6364138,Finance
SHYAMMETL,nifty_smallcap250,591401,Other
SIEMENS,"nifty_energy,nifty_next50",577500,Energy
SIGNATURE,nifty_smallcap250,280503,Other
SJVN,"nifty_energy,nifty_midcap150",6381455,Energy
SOBHA,"nifty_realty,nifty_smallcap250",281928,Realty
SOLARINDS,nifty_next50,142913,Other
SONACOMS,"nifty_auto,nifty_smallcap250",3167833,Auto
SONATSOFTW,nifty_smallcap250,3128536,Other
SPLPETRO,nifty_smallcap250,165045,Other
SRF,nifty_midcap150,656218,Other
STARHEALTH,nifty_smallcap250,850690,Other
